Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MVP Run,Firefox 68.0,,,2019-09-23 16:55:37,2019-09-23 16:57:10,1m - 33.123s,INCOMPLETE
,,,,,,,
Test Cases/MVP_weather_Testcase2,Firefox 68.0,,,2019-09-23 16:55:39,2019-09-23 16:56:30,51.406s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-09-23 16:55:41,2019-09-23 16:56:26,44.988s,PASSED
"navigateToUrl(""http://weather-app-dev.13.94.25.165.nip.io/"")",Firefox 68.0,,,2019-09-23 16:56:26,2019-09-23 16:56:29,2.146s,PASSED
"waitForElementPresent(findTestObject(""Page_Weather Application/Page_Weather Application/h1_England""), 0)",Firefox 68.0,,,2019-09-23 16:56:29,2019-09-23 16:56:29,0.541s,PASSED
"verifyElementText(findTestObject(""Page_Weather Application/h1_England""), ""England"")",Firefox 68.0,,,2019-09-23 16:56:29,2019-09-23 16:56:30,1.056s,PASSED
,,,,,,,
Test Cases/MVP_weather_Testcase3,Firefox 68.0,,,2019-09-23 16:56:30,2019-09-23 16:57:10,39.885s,FAILED
"openBrowser("""")",Firefox 68.0,,,2019-09-23 16:56:32,2019-09-23 16:57:01,29.498s,PASSED
"navigateToUrl(""http://weather-app-dev.13.94.25.165.nip.io/"")",Firefox 68.0,,,2019-09-23 16:57:01,2019-09-23 16:57:03,2.039s,PASSED
"click(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/span_France_en""))",Firefox 68.0,,,2019-09-23 16:57:03,2019-09-23 16:57:05,1.267s,PASSED
"waitForElementPresent(findTestObject(""Page_Weather Application/Page_Weather Application/h1_France""), 0)",Firefox 68.0,,,2019-09-23 16:57:05,2019-09-23 16:57:06,1.723s,FAILED
